"count_date","location_id","location","daily_cars","daily_bus","daily_peds","daily_bike"
2018-03-27,5180,"HILDA AVE AT STEELES AVE W",26579,420,605,27
2018-04-03,4021,"JANE ST AT ST JOHNS RD (PX 523)",10987,364,738,56
2018-04-03,4022,"EAST DR AT JANE ST & OUTLOOK AVE (PX 526)",14640,342,657,10
2018-04-03,5612,"CHURCH ST AT JANE ST & MAPLE LEAF DR (PX 530)",21999,429,1303,9
2018-04-03,6031,"ARDAGH ST AT JANE ST (PX 1316)",9071,396,850,52
2018-04-03,6032,"JANE ST AT LAMBTON AVE (PX 527)",14260,355,414,2
2018-04-03,6033,"BALA AVE AT EMMETT AVE & JANE ST (PX 1317)",14167,369,694,7
2018-04-03,6034,"JANE ST AT JOHN ST (PX 943)",16694,326,1017,13
2018-04-03,6036,"HARDING AVE AT JANE ST (PX 1318)",15811,438,632,5
2018-04-03,34775,"JANE ST AT WRIGHT AVE (PX 2290)",15724,505,1058,10
2018-04-04,4023,"BEVERLY HILLS DR AT JANE ST (PX 1409)",18269,390,344,4
2018-04-04,4025,"GILTSPUR DR AT JANE ST",13625,368,139,5
2018-04-04,4026,"CLAIR RD AT JANE ST & SPENVALLEY DR (PX 1127)",12747,306,749,3
2018-04-04,4488,"JANE ST AT FALSTAFF AVE & GORDON MACKAY RD",19428,393,968,1
2018-04-04,4856,"BLACK CREEK DR S TCS AT JANE ST (PX 235)",22814,373,51,4
2018-04-04,5274,"JANE ST AT SHEPPARD AVE W",23385,555,2353,4
2018-04-04,5277,"JANE ST AT YORKGATE MALL N ENTRANCE 55M N OF SAN ROMANO (PX 1731)",12548,378,841,6
2018-04-04,6030,"DRIFTWOOD AVE AT JANE ST & MILO PARK GT (PX 1213)",13374,460,792,1
2018-04-04,6035,"DENISON RD AT JANE ST & TRETHEWEY DR (PX 529)",18050,477,1449,3
2018-04-04,6208,"JANE ST AT SHERIDAN MALL (PX 1472)",16827,389,686,2
2018-04-04,6222,"JANE ST AT TROUTBROOKE DR (PX 2284)",13993,363,173,5
2018-04-04,16257,"JANE ST AT 360M N OF SHOREHAM DR (PX 1727)",9966,421,32,1
