"count_date","location","lng","lat","count_id","time_trend","daily_cars","daily_bus","daily_peds","daily_bike"
2014-09-23,"BLOOR ST AT NEILSON DR (PX 2210)",-79.567229,43.6344499969643,31363,996,13027,271,120,50
2014-09-25,"KENRIDGE AVE AT PRINCE EDWARD DR S",-79.50100431,43.63818685,31415,998,4194,133,85,46
2014-09-29,"THE EAST MALL AT YARN RD (PX 2337)",-79.553736,43.6323239958038,31385,1002,8274,112,615,43
2014-09-30,"BURNHAMTHORPE RD AT MILL RD (PX 1300)",-79.584368,43.639205,31431,1003,21882,249,629,24
2014-10-04,"BLOOR ST W AT ROYAL YORK RD",-79.51136332,43.64736297,31475,1007,20111,146,1833,129
2014-10-04,"ROYAL YORK RD AT THE QUEENSWAY",-79.50263229,43.6263363553122,31481,1007,21449,192,1342,249
2014-10-06,"BLOOR ST W AT ROYAL YORK RD",-79.51136332,43.64736297,31477,1009,22196,300,3056,161
2014-10-06,"ROYAL YORK RD AT THE QUEENSWAY",-79.50263229,43.6263363553122,31483,1009,22563,315,1832,266
2014-11-22,"EVANS AVE AT KIPLING AVE (PX 765)",-79.524628,43.615873,31631,1056,21108,119,167,19
2014-11-22,"KIPLING AVE AT LAKE SHORE BLVD (PX 237)",-79.51695,43.598198,31629,1056,12963,239,2383,86
2014-11-24,"EVANS AVE AT KIPLING AVE (PX 765)",-79.524628,43.615873,31511,1058,24047,393,511,19
2014-11-25,"EAST MALL CRES AT THE EAST MALL (PX 904)",-79.552338,43.6314350009769,31535,1059,13121,115,233,22
2014-11-26,"BURNHAMTHORPE RD AT THE EAST MALL (PX 948)",-79.559992,43.646303,31533,1060,27040,336,569,16
2014-12-02,"KIPLING AVE AT THE QUEENSWAY (PX 568)",-79.52674101,43.6209179956827,31573,1066,30624,330,355,14
2014-12-03,"COLBORNE LODGE DR AT LAKE SHORE BLVD (PX 1456)",-79.458966,43.6379699968623,31559,1067,35611,351,56,176
2014-12-03,"LAKE SHORE BLVD AT PALACE PIER CT (PX 2034)",-79.47554,43.631262,31655,1067,5979,78,54,8
2014-12-08,"F G GARDINER EXPY ON/OFF RAMPS AT LAKE SHORE BLVD (PX 1944)",-79.47902,43.627305,31653,1072,10026,151,195,10
2014-12-15,"ELLIS AVE AT LAKE SHORE BLVD (PX 228)",-79.46528499,43.6363540019529,31585,1079,32938,311,83,211
2014-12-15,"THE QUEENSWAY AT 80M E OF HIGH ST & HUMBER TREATMENT PT (PX 2005)",-79.48207,43.63087,31647,1079,18474,447,531,41
2014-12-16,"BURNHAMTHORPE RD AT KIPLING AVE (PX 726)",-79.539395,43.650977,31691,1080,20955,491,200,2
2014-12-16,"KIPLING AVE AT MATTICE AVE & MATTICE RD (PX 1867)",-79.53763,43.646967,31681,1080,13270,337,146,4
2014-12-16,"KIPLING AVE AT OLIVEWOOD RD (PX 1323)",-79.53274,43.635527,31675,1080,18842,236,237,1
2014-12-16,"KIPLING AVE AT TORLAKE CRES (PX 946)",-79.522552,43.611542,31737,1080,9479,225,114,0
2014-12-16,"THE EAST MALL AT VALHALLA INN ROAD (PX 2335)",-79.55769799,43.641484,31705,1080,10726,141,258,6
2014-12-18,"LAKE SHORE BLVD AT LEGION RD (PX 1994)",-79.483267,43.620511,31667,1082,8611,164,457,33
2014-12-18,"LAKE SHORE BLVD AT MARINE PARADE DR & PARK LAWN RD (PX 230)",-79.481211,43.6229680022022,31673,1082,16021,315,752,17
2014-12-18,"LAKE SHORE BLVD W AT ROYAL YORK RD",-79.49316585,43.60365161,31665,1082,6895,233,357,62
2014-12-18,"MIMICO AVE AT ROYAL YORK RD",-79.49675006,43.61223592,31739,1082,6159,189,895,38
2014-12-18,"PARK LAWN RD AT F G GARDINER EXPY S TCS & ACC TO LEGION (PX 989)",-79.485957,43.625702,31671,1082,14812,272,196,1
2014-12-18,"PARK LAWN RD AT PARK LAWN GARDINER W RAMP (PX 1055)",-79.487754,43.627105,31669,1082,14712,262,133,3
2014-12-20,"BURNHAMTHORPE RD AT KIPLING AVE (PX 726)",-79.539395,43.650977,31645,1084,19840,294,172,9
2018-11-01,"BELLMAN AVE AT EVANS AVE",-79.53330913,43.61420077,37835,2496,12199,99,28,19
2018-11-01,"SOUTH KINGSWAY AT VERBENA AVE",-79.48400243,43.64665577,37843,2496,9552,24,127,9
2018-11-20,"EVANS AVE AT SHERWAY GT (PX 923)",-79.556419,43.6089890010863,37863,2515,13587,259,319,11
2018-11-29,"PAXMAN RD AT THE WEST MALL",-79.55955146,43.62407225,37929,2524,10966,44,51,5
2018-12-04,"BOTFIELD AVE AT BURNHAMTHORPE RD",-79.54218266,43.6503783,37957,2529,14707,213,54,12
2018-12-04,"ROYAL YORK RD AT HAY AVE",-79.49964491,43.6191984419552,37905,2529,9320,202,846,45
2018-12-15,"DUNDAS ST AT NEILSON DR & WEST MALL CRES (PX 883)",-79.562372,43.627342,37987,2540,27503,192,139,11
2018-12-15,"DUNDAS ST W AT EAST MALL CRES (PX 915)",-79.54982,43.630377,37991,2540,21955,574,792,16
2018-12-15,"DUNDAS ST W AT SHAVER AVE & SHORNCLIFFE RD (PX 778)",-79.544701,43.6321199986147,38019,2540,21512,662,402,15
2018-12-15,"EAST MALL CRES AT THE EAST MALL (PX 904)",-79.552338,43.6314350009769,37995,2540,15319,69,366,13
2018-12-18,"BLOOR ST AT FORESTVIEW RD & MAPLEDAWN RD (PX 1835)",-79.573424,43.632784,38097,2543,12382,193,543,4
2018-12-18,"BLOOR ST AT MARKLAND E TCS DR (PX 1016)",-79.57078399,43.633556,38099,2543,14549,181,311,14
2018-12-18,"BLOOR ST AT MILL RD (PX 924)",-79.575159,43.6320410036915,38095,2543,14088,192,1126,16
2018-12-18,"DUNDAS ST AT NEILSON DR & WEST MALL CRES (PX 883)",-79.562372,43.627342,37985,2543,30033,392,181,8
2018-12-18,"DUNDAS ST W AT EAST MALL CRES (PX 915)",-79.54982,43.630377,37989,2543,24379,1038,1271,9
2018-12-18,"DUNDAS ST W AT PAULART DR (PX 511)",-79.546924,43.6310220002373,37993,2543,20263,1045,798,5
2018-12-18,"DUNDAS ST W AT SHAVER AVE & SHORNCLIFFE RD (PX 778)",-79.544701,43.6321199986147,38017,2543,24541,1152,658,12
